term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust
accusing,1,0,0,1,0,1,0,0,0,0
ache,0,0,0,0,0,1,0,1,0,0
achieve,0,0,0,0,1,0,1,0,0,1
achievement,0,1,0,0,1,0,1,0,0,1
aching,0,0,0,0,0,1,0,1,0,0
acquiring,0,1,0,0,0,0,1,0,0,0
acrobat,0,0,0,1,1,0,1,0,0,1
actionable,1,0,1,0,0,1,0,0,0,0
adder,1,0,1,1,0,1,0,1,0,0
addresses,0,1,0,0,0,0,1,0,0,0
adjudicate,0,0,0,1,0,1,0,0,0,0
admirable,0,0,0,0,1,0,1,0,0,1
admiral,0,0,0,0,0,0,1,0,0,1
admiration,0,0,0,0,1,0,1,0,0,1
admire,0,0,0,0,0,0,1,0,0,1
admissible,0,0,0,0,0,0,1,0,0,1
admonition,0,0,0,1,0,1,0,0,0,0
adorable,0,0,0,0,1,0,1,0,0,0
adoration,0,0,0,0,1,0,1,0,0,1
adore,0,1,0,0,1,0,1,0,0,1
adrift,0,1,0,1,0,1,0,1,0,0
adultery,0,0,1,0,0,1,0,1,0,0
advance,0,1,0,1,1,0,1,0,1,0
advent,0,1,0,0,1,0,1,0,0,1
adventure,0,1,0,0,0,0,1,0,0,0
adversary,1,0,0,0,0,1,0,0,0,0
adverse,1,0,1,1,0,1,0,1,0,0
adversity,1,0,0,1,0,1,0,1,0,0
advisable,0,0,0,0,0,0,1,0,0,1
advise,0,0,0,0,0,0,1,0,0,1
adviser,0,0,0,0,0,0,1,0,0,1
advocacy,1,1,0,0,1,0,1,0,0,1
aesthetics,0,0,0,0,1,0,1,0,0,0
affection,0,0,0,0,1,0,1,0,0,1
affirm,0,0,0,0,0,0,1,0,0,1
affirmatively,0,0,0,0,0,0,1,0,0,1
afflict,0,0,0,1,0,1,0,1,0,0
affliction,0,0,1,1,0,1,0,1,0,0
affluence,0,0,0,0,1,0,1,0,0,0
affront,1,0,1,1,0,1,0,1,1,0
afraid,0,0,0,1,0,1,0,0,0,0
aftermath,1,0,1,1,0,1,0,1,0,0
aga,0,0,0,1,0,0,1,0,0,1
aggravated,1,0,0,0,0,1,0,0,0,0
aggravating,1,0,0,0,0,1,0,1,0,0
aggravation,1,0,1,0,0,1,0,0,0,0
aggression,1,0,0,1,0,1,0,0,0,0
aggressive,1,0,0,1,0,1,0,0,0,0
aggressor,1,0,0,1,0,1,0,0,0,0
aghast,0,0,1,1,0,1,0,0,1,0
agitated,1,0,0,0,0,1,0,0,0,0
agitation,1,0,0,0,0,1,0,0,0,0
agonizing,0,0,0,1,0,1,0,0,0,0
agony,1,0,0,1,0,1,0,1,0,0
agreeable,0,0,0,0,0,0,1,0,0,1
agreed,0,0,0,0,0,0,1,0,0,1
agreeing,0,0,0,0,0,0,1,0,0,1
agreement,0,0,0,0,0,0,1,0,0,1
ail,0,0,0,0,0,1,0,1,0,0
ailing,0,0,0,1,0,1,0,1,0,0
airs,0,0,1,0,0,1,0,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
alarming,0,0,0,1,0,1,0,0,1,0
alcoholism,1,0,1,1,0,1,0,1,0,0
alertness,0,1,0,1,0,0,1,0,1,0
alerts,0,1,0,1,0,0,0,0,1,0
alien,0,0,1,1,0,1,0,0,0,0
alienate,1,0,1,0,0,1,0,0,0,0
alienated,0,0,0,0,0,1,0,1,0,0
alienation,1,0,1,1,0,1,0,1,0,0
alive,0,1,0,0,1,0,1,0,0,1
allegation,1,0,0,0,0,1,0,0,0,0
allegiance,0,0,0,0,0,0,1,0,0,1
allied,0,0,0,0,0,0,1,0,0,1
allure,0,1,0,0,1,0,1,0,1,0
ally,0,0,0,0,0,0,1,0,0,1
aloha,0,1,0,0,1,0,1,0,0,0
altercation,1,0,0,0,0,1,0,0,0,0
amazingly,0,0,0,0,1,0,1,0,1,0
ambassador,0,0,0,0,0,0,1,0,0,1
ambition,0,1,0,0,1,0,1,0,0,1
ambulance,0,0,0,1,0,0,0,0,0,1
ambush,1,0,0,1,0,1,0,0,1,0
amen,0,0,0,0,1,0,1,0,0,1
amicable,0,0,0,0,1,0,1,0,0,0
amnesty,0,0,0,0,1,0,1,0,0,0
amour,0,1,0,0,1,0,1,0,0,1
amphetamines,0,0,1,0,0,1,0,0,0,0
amuse,0,0,0,0,1,0,1,0,0,0
amused,0,0,0,0,1,0,1,0,0,0
amusement,0,0,0,0,1,0,1,0,0,0
amusing,0,0,0,0,1,0,1,0,0,0
anaconda,0,0,1,1,0,1,0,0,0,0
analyst,0,1,0,0,0,0,1,0,0,1
anarchism,1,0,0,1,0,1,0,0,0,0
anarchist,1,0,0,1,0,1,0,0,0,0
anarchy,1,0,0,1,0,1,0,0,0,0
anathema,1,0,1,1,0,1,0,1,0,0
anchorage,0,0,0,0,0,0,1,1,0,0
angel,0,1,0,0,1,0,1,0,1,1
angelic,0,0,0,0,1,0,1,0,0,1
anger,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angling,0,1,0,0,0,1,0,0,0,0
angry,1,0,1,0,0,1,0,0,0,0
anguish,1,0,0,1,0,1,0,1,0,0
animated,0,0,0,0,1,0,1,0,0,0
animosity,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
annihilate,1,0,0,1,0,1,0,0,0,0
annihilated,1,0,0,1,0,1,0,1,0,0
annihilation,1,0,0,1,0,1,0,1,0,0
annoy,1,0,1,0,0,1,0,0,0,0
annoyance,1,0,1,0,0,1,0,0,0,0
annoying,1,0,0,0,0,1,0,0,0,0
annulment,0,0,0,0,0,1,0,1,0,0
anomaly,0,0,0,1,0,1,0,0,1,0
antagonism,1,0,0,0,0,1,0,0,0,0
antagonist,1,0,0,0,0,1,0,0,0,0
antagonistic,1,0,1,0,0,1,0,0,0,0
anthrax,0,0,1,1,0,1,0,1,0,0
antichrist,1,0,1,1,0,1,0,0,0,0
antidote,0,1,0,0,0,0,1,0,0,1
antifungal,0,0,0,0,0,0,1,0,0,1
antipathy,1,0,1,0,0,1,0,0,0,0
antiseptic,0,0,0,0,0,0,1,0,0,1
antisocial,1,0,1,1,0,1,0,1,0,0
antithesis,1,0,0,0,0,1,0,0,0,0
anxiety,1,1,0,1,0,1,0,1,0,0
anxious,0,1,0,1,0,1,0,0,0,0
apache,0,0,0,1,0,1,0,0,0,0
apathetic,0,0,0,0,0,1,0,1,0,0
apathy,0,0,0,0,0,1,0,1,0,0
aphid,0,0,1,0,0,1,0,0,0,0
apologetic,0,0,0,0,0,0,1,0,0,1
apologize,0,0,0,0,0,0,1,1,0,1
apostle,0,0,0,0,0,0,1,0,0,1
appalling,0,0,1,1,0,1,0,0,0,0
apparition,0,0,0,1,0,0,0,0,1,0
appendicitis,0,0,0,1,0,1,0,1,0,0
applause,0,0,0,0,1,0,1,0,1,1
appreciation,0,0,0,0,1,0,1,0,0,1
apprehension,0,0,0,1,0,1,0,0,0,0
apprehensive,0,1,0,1,0,1,0,0,0,0
approbation,0,0,0,0,0,0,1,0,0,1
approve,0,0,0,0,1,0,1,0,0,1
archaeology,0,1,0,0,0,0,1,0,0,0
ardent,0,1,0,0,1,0,1,0,0,0
argue,1,0,0,0,0,1,0,0,0,0
argument,1,0,0,0,0,1,0,0,0,0
arid,0,0,0,0,0,1,0,1,0,0
armament,1,0,0,1,0,0,0,0,0,0
armaments,0,0,0,1,0,1,0,0,0,0
armed,1,0,0,1,0,1,1,0,0,0
armor,0,0,0,1,0,0,1,0,0,1
arouse,0,1,0,0,0,0,1,0,0,0
arraignment,1,0,0,1,0,1,0,1,0,0
arrogant,1,0,1,0,0,1,0,0,0,0
arsenic,0,0,1,1,0,1,0,1,0,0
arson,1,0,0,1,0,1,0,0,0,0
art,0,1,0,0,1,0,1,1,1,0
artillery,0,0,0,1,0,1,0,0,0,0
ashamed,0,0,1,0,0,1,0,1,0,0
ashes,0,0,0,0,0,1,0,1,0,0
aspiration,0,1,0,0,1,0,1,0,1,1
aspire,0,1,0,0,1,0,1,0,0,0
aspiring,0,1,0,0,1,0,1,0,0,1
assail,1,0,0,1,0,1,0,0,1,0
assailant,1,0,0,1,0,1,0,1,0,0
assassin,1,0,0,1,0,1,0,1,0,0
assassinate,1,0,0,1,0,1,0,0,0,0
assassination,1,0,0,1,0,1,0,1,0,0
assault,1,0,0,1,0,1,0,0,0,0
assembly,0,0,0,0,0,0,1,0,0,1
asserting,0,0,0,0,0,0,1,0,0,1
assessment,0,0,0,0,0,0,0,0,1,1
asshole,1,0,1,0,0,1,0,0,0,0
assist,0,0,0,0,0,0,1,0,0,1
associate,0,0,0,0,0,0,1,0,0,1
assurance,0,0,0,0,0,0,1,0,0,1
assured,0,0,0,0,0,0,1,0,0,1
astonishingly,0,0,0,0,0,0,1,0,1,0
astonishment,0,0,0,0,1,0,1,0,1,0
astray,0,0,0,1,0,1,0,0,0,0
astrologer,0,1,0,0,0,0,1,0,0,0
astronomer,0,1,0,0,0,0,1,0,0,0
asylum,0,0,0,1,0,1,0,0,0,0
atherosclerosis,0,0,0,1,0,1,0,1,0,0
atone,0,1,0,0,1,0,1,0,0,1
atrocious,1,0,1,0,0,1,0,0,0,0
atrocity,1,0,1,1,0,1,0,1,0,0
atrophy,0,0,1,1,0,1,0,1,0,0
attack,1,0,0,1,0,1,0,0,0,0
attacking,1,0,1,1,0,1,0,1,1,0
attainable,0,1,0,0,0,0,1,0,0,0
attendant,0,0,0,0,0,0,1,0,0,1
attentive,0,0,0,0,0,0,1,0,0,1
attenuation,0,0,0,0,0,1,0,1,0,0
attest,0,0,0,0,0,0,1,0,0,1
attorney,1,0,0,1,0,0,1,0,0,1
auditor,0,0,0,1,0,0,0,0,0,1
aunt,0,0,0,0,0,0,1,0,0,1
auspicious,0,1,0,0,1,0,1,0,0,0
austere,0,0,0,1,0,1,0,1,0,0
authentic,0,0,0,0,1,0,1,0,0,1
authenticity,0,0,0,0,0,0,1,0,0,1
author,0,0,0,0,0,0,1,0,0,1
authoritative,0,0,0,0,0,0,1,0,0,1
authority,0,0,0,0,0,0,1,0,0,1
authorization,0,0,0,0,0,0,1,0,0,1
autopsy,0,0,1,1,0,1,0,1,0,0
avalanche,0,0,0,1,0,1,0,1,1,0
avarice,1,0,1,0,0,1,0,0,0,0
avenger,1,0,0,0,0,1,0,0,0,0
averse,1,0,1,1,0,1,0,0,0,0
aversion,1,0,1,1,0,1,0,0,0,0
avoid,0,0,0,1,0,1,0,0,0,0
avoidance,0,0,0,1,0,1,0,0,0,0
award,0,1,0,0,1,0,1,0,1,1
awful,1,0,1,1,0,1,0,1,0,0
awkwardness,0,0,1,0,0,1,0,0,0,0
baboon,0,0,1,0,0,1,0,0,0,0
baby,0,0,0,0,1,0,1,0,0,0
backbone,1,0,0,0,0,0,1,0,0,1
backwards,0,0,1,0,0,1,0,0,0,0
backwater,0,0,0,0,0,1,0,1,0,0
bacteria,0,0,1,1,0,1,0,1,0,0
bacterium,0,0,1,1,0,1,0,0,0,0
bad,1,0,1,1,0,1,0,1,0,0
badger,1,0,0,0,0,1,0,0,0,0
badly,0,0,0,0,0,1,0,1,0,0
badness,1,0,1,1,0,1,0,0,0,0
bailiff,0,0,0,1,0,1,0,0,0,1
bait,0,0,0,1,0,1,0,0,0,1
bale,0,0,0,1,0,1,0,0,0,0
ballot,0,1,0,0,0,0,1,0,0,1
balm,0,1,0,0,1,1,1,0,0,0
bane,1,0,1,1,0,1,0,0,0,0
bang,1,0,1,1,0,1,0,1,1,0
banger,1,1,0,1,0,1,0,0,1,0
banish,1,0,1,1,0,1,0,1,0,0
banished,1,0,0,1,0,1,0,1,0,0
banishment,1,0,1,0,0,1,0,1,0,0
bankrupt,0,0,0,1,0,1,0,1,0,0
bankruptcy,1,0,1,1,0,1,0,1,0,0
banquet,0,1,0,0,1,0,1,0,0,0
banshee,1,0,1,1,0,1,0,1,0,0
baptismal,0,0,0,0,1,0,1,0,0,0
barb,1,0,0,0,0,1,0,0,0,0
barbarian,0,0,0,1,0,1,0,0,0,0
barbaric,1,0,1,1,0,1,0,0,0,0
bargain,0,0,0,0,0,0,1,0,0,1
bark,1,0,0,0,0,1,0,0,0,0
barren,0,0,0,0,0,1,0,1,0,0
barricade,0,0,0,1,0,1,0,0,0,0
barrier,1,0,0,0,0,1,0,0,0,0
basketball,0,1,0,0,1,0,1,0,0,0
bastard,0,0,1,0,0,1,0,1,0,0
bastion,1,0,0,0,0,0,1,0,0,0
batter,1,0,0,1,0,1,0,0,0,0
battered,0,0,0,1,0,1,0,1,0,0
battery,1,0,0,0,0,1,0,0,0,0
battle,1,0,0,0,0,1,0,0,0,0
battled,1,0,0,1,0,1,0,1,0,0
battlefield,0,0,0,1,0,1,0,0,0,0
bayonet,1,0,0,1,0,1,0,0,0,0
beam,0,0,0,0,1,0,1,0,0,0
beaming,0,1,0,0,1,0,1,0,0,0
bear,1,0,0,1,0,0,0,0,0,0
bearish,1,0,0,1,0,0,0,0,0,0
beast,1,0,0,1,0,1,0,0,0,0
beastly,0,0,1,1,0,1,0,0,0,0
beating,1,0,0,1,0,1,0,1,0,0
beautification,0,0,0,0,1,0,1,0,0,1
beautiful,0,0,0,0,1,0,1,0,0,0
beautify,0,0,0,0,1,0,1,0,0,0
beauty,0,0,0,0,1,0,1,0,0,0
bedrock,0,0,0,0,0,0,1,0,0,1
bee,1,0,0,1,0,0,0,0,0,0
beer,0,0,0,0,1,0,1,0,0,0
befriend,0,0,0,0,1,0,1,0,0,1
beg,0,0,0,0,0,1,0,1,0,0
beggar,0,0,0,0,0,1,0,1,0,0
behemoth,0,0,0,1,0,1,0,0,0,0
believing,0,0,0,0,0,0,1,0,0,1
belittle,1,0,1,1,0,1,0,1,0,0
belligerent,1,0,0,1,0,1,0,0,0,0
belt,1,0,0,1,0,1,0,0,0,0
benefactor,0,0,0,0,0,0,1,0,0,1
benevolence,0,0,0,0,1,0,1,0,0,1
benign,0,0,0,0,1,0,1,0,0,0
bereaved,0,0,0,0,0,1,0,1,0,0
bereavement,0,0,0,0,0,1,0,1,0,0
berserk,1,0,0,0,0,1,0,0,0,0
bestial,0,0,1,1,0,1,0,0,0,0
betray,1,0,1,0,0,1,0,1,1,0
betrayal,1,0,1,0,0,1,0,1,0,0
betrothed,0,1,0,0,1,0,1,0,0,1
beware,0,1,0,1,0,1,0,0,0,0
bewildered,0,0,0,1,0,1,0,0,1,0
bewilderment,0,0,0,1,0,0,0,0,1,0
bias,1,0,0,0,0,1,0,0,0,0
bickering,1,0,1,0,0,1,0,0,0,0
bier,0,0,0,1,0,1,0,1,0,0
bigot,1,0,1,1,0,1,0,0,0,0
bigoted,1,0,1,1,0,1,0,1,0,0
bile,1,0,1,0,0,1,0,0,0,0
biopsy,0,0,0,1,0,1,0,0,0,0
birch,1,0,1,1,0,1,0,0,0,0
birth,0,1,0,1,1,0,1,0,0,1
birthday,0,1,0,0,1,0,1,0,1,0
birthplace,1,0,0,0,0,1,0,0,0,0
bitch,1,0,1,1,0,1,0,1,0,0
bitterly,1,0,1,0,0,1,0,1,0,0
bitterness,1,0,1,0,0,1,0,1,0,0
bizarre,0,0,0,0,0,1,0,0,1,0
black,0,0,0,0,0,1,0,1,0,0
blackmail,1,0,0,1,0,1,0,0,0,0
blackness,0,0,0,1,0,1,0,1,0,0
blame,1,0,1,0,0,1,0,0,0,0
blasphemous,1,0,1,0,0,1,0,0,0,0
blasphemy,1,0,0,0,0,1,0,0,0,0
blast,1,0,0,1,0,1,0,0,1,0
blatant,1,0,1,0,0,1,0,0,0,0
blaze,1,0,0,0,0,1,0,0,0,0
bleak,0,0,0,0,0,1,0,1,0,0
bleeding,0,0,1,1,0,1,0,1,0,0
blemish,1,0,1,1,0,1,0,1,0,0
bless,0,1,0,0,1,0,1,0,0,1
blessed,0,0,0,0,1,0,1,0,0,0
blessing,0,1,0,0,1,0,1,0,0,1
blessings,0,1,0,0,1,0,1,0,1,1
blight,0,0,1,1,0,1,0,1,0,0
blighted,0,0,1,0,0,1,0,1,0,0
blindfold,0,1,0,1,0,0,0,0,1,0
blindly,0,0,0,0,0,1,0,1,0,0
blindness,0,0,0,0,0,1,0,1,0,0
bliss,0,0,0,0,1,0,1,0,0,0
blissful,0,0,0,0,1,0,1,0,0,0
blister,0,0,1,0,0,1,0,0,0,0
bloated,0,0,1,0,0,1,0,0,0,0
blob,0,0,1,1,0,1,0,0,0,0
blockade,1,0,0,1,0,1,0,1,0,0
bloodshed,1,0,1,1,0,1,0,1,1,0
bloodthirsty,1,0,1,1,0,1,0,0,0,0
bloody,1,0,1,1,0,1,0,1,0,0
bloom,0,1,0,0,1,0,1,0,0,1
blossom,0,0,0,0,1,0,1,0,0,0
blues,0,0,0,1,0,1,0,1,0,0
blunder,0,0,1,0,0,1,0,1,0,0
boast,0,0,0,0,0,1,1,0,0,0
bodyguard,0,0,0,0,0,0,1,0,0,1
bogus,1,0,1,0,0,1,0,0,0,0
boil,0,0,1,0,0,1,0,0,0,0
boisterous,1,1,0,0,1,1,1,0,0,0
bomb,1,0,0,1,0,1,0,1,1,0
bombard,1,0,0,1,0,1,0,0,0,0
bombardment,1,0,0,1,0,1,0,0,0,0
bombed,0,0,1,0,0,1,0,0,0,0
bomber,0,0,0,1,0,0,0,1,0,0
bonanza,0,0,0,0,1,0,1,0,0,0
bondage,0,0,0,1,0,1,0,1,0,0
bonus,0,1,0,0,1,0,1,0,1,0
bookworm,0,0,0,0,0,1,1,0,0,0
boomerang,0,1,0,0,0,0,0,0,0,1
boredom,0,0,0,0,0,1,0,1,0,0
bothering,1,0,0,0,0,1,0,1,0,0
bottom,0,0,0,0,0,1,0,1,0,0
bountiful,0,1,0,0,1,0,1,0,0,0
bounty,0,1,0,0,1,0,1,0,0,1
bouquet,0,0,0,0,1,0,1,0,0,1
bout,1,0,0,0,0,1,0,0,0,0
bovine,0,0,1,0,0,1,0,0,0,0
boy,0,0,1,0,0,1,0,0,0,0
brawl,1,0,1,1,0,1,0,0,0,0
brazen,1,0,0,0,0,1,0,0,0,0
breakup,0,0,0,0,0,1,0,1,0,0
bribery,0,0,1,0,0,1,0,0,0,0
bridal,0,1,0,0,1,0,1,0,0,1
bride,0,1,0,0,1,0,1,0,0,1
bridegroom,0,1,0,0,1,0,1,0,0,1
bridesmaid,0,0,0,0,1,0,1,0,0,1
brigade,0,0,0,1,0,1,0,0,0,0
brighten,0,0,0,0,1,0,1,0,1,1
brilliant,0,1,0,0,1,0,1,0,0,1
brimstone,1,0,0,1,0,1,0,0,0,0
broadside,0,1,0,0,0,1,0,0,0,0
broil,1,0,0,0,0,1,0,0,0,0
broke,0,0,0,1,0,1,0,1,0,0
broken,1,0,0,1,0,1,0,1,0,0
brothel,0,0,1,0,0,1,0,0,0,0
brother,0,0,0,0,0,0,1,0,0,1
brotherhood,0,0,0,0,0,0,1,0,0,1
brotherly,0,1,0,0,1,0,1,0,0,1
bruise,0,1,0,0,0,1,0,0,0,0
brunt,1,0,0,0,0,1,0,0,0,0
brutal,1,0,0,1,0,1,0,0,0,0
brutality,1,0,0,1,0,1,0,0,0,0
brute,1,0,0,1,0,1,0,1,0,0
buck,0,0,0,1,0,1,1,0,1,0
buddy,0,1,0,0,1,0,1,0,0,1
buffet,1,0,0,0,0,1,0,0,0,0
bug,0,0,1,1,0,1,0,0,0,0
bugaboo,1,0,0,1,0,1,0,1,0,0
bully,1,0,0,1,0,1,0,0,0,0
bum,0,0,1,0,0,1,0,1,0,0
bummer,1,0,1,0,0,1,0,0,0,0
burdensome,0,0,0,1,0,1,0,1,0,0
bureaucracy,0,0,0,0,0,1,0,0,0,1
bureaucrat,0,0,1,0,0,1,0,0,0,0
burglar,0,0,1,1,0,1,0,0,0,0
burial,1,0,0,1,0,1,0,1,0,0
buried,0,0,0,1,0,1,0,1,0,0
burke,1,0,1,1,0,1,0,1,0,0
burnt,0,0,1,0,0,1,0,0,0,0
buss,0,0,0,0,1,0,1,0,0,0
busted,1,0,0,1,0,1,0,0,0,0
butcher,1,0,1,1,0,1,0,0,0,0
butler,0,0,0,0,0,0,1,0,0,1
buzz,0,1,0,1,0,0,1,0,0,0
cabal,0,0,0,1,0,1,0,0,0,0
cabinet,0,0,0,0,0,0,1,0,0,1
cacophony,1,0,1,0,0,1,0,0,0,0
cad,1,0,1,0,0,1,0,0,0,0
cadaver,0,0,1,1,0,1,0,1,1,0
cage,0,0,0,0,0,1,0,1,0,0
calculator,0,0,0,0,0,0,1,0,0,1
calf,0,0,0,0,1,0,1,0,0,1
callous,1,0,1,0,0,1,0,0,0,0
calls,0,1,0,0,0,1,0,0,0,1
campaigning,1,0,0,1,0,1,0,0,0,0
cancel,0,0,0,0,0,1,0,1,0,0
cancer,1,0,1,1,0,1,0,1,0,0
candid,0,1,0,0,1,0,1,0,1,1
cane,1,0,0,1,0,0,0,0,0,0
canker,1,0,1,0,0,1,0,0,0,0
cannibal,0,0,1,1,0,1,0,0,0,0
cannibalism,0,0,1,0,0,1,0,0,0,0
cannon,1,0,0,1,0,1,0,0,0,0
cap,0,1,0,0,0,0,0,0,0,1
captivate,0,1,0,0,1,0,1,0,1,1
captive,0,0,0,1,0,1,0,1,0,0
captivity,0,0,0,0,0,1,0,1,0,0
captor,0,0,0,1,0,1,0,0,0,0
carcass,0,0,1,1,0,1,0,1,0,0
carcinoma,0,0,0,1,0,1,0,1,0,0
cardiomyopathy,0,0,0,1,0,1,0,1,0,0
career,0,1,0,0,0,0,1,0,0,0
carelessness,1,0,1,0,0,1,0,0,0,0
caretaker,0,0,0,0,0,0,1,0,0,1
caries,0,0,1,0,0,1,0,0,0,0
carnage,1,0,1,1,0,1,0,1,1,0
carnivorous,0,0,0,1,0,1,0,0,0,0
carol,0,0,0,0,1,0,1,0,0,1
case,0,0,0,1,0,1,0,1,0,0
cash,1,1,0,1,1,0,1,0,0,1
casket,0,0,0,1,0,1,0,1,0,0
casualty,1,0,0,1,0,1,0,1,0,0
cataract,0,1,0,1,0,1,0,1,0,0
catastrophe,1,0,1,1,0,1,0,1,1,0
cathedral,0,0,0,0,1,0,1,0,0,1
caution,1,1,0,1,0,1,0,0,0,0
cautious,0,1,0,1,0,0,1,0,0,1
cautiously,0,0,0,1,0,0,1,0,0,0
celebrated,0,1,0,0,1,0,1,0,0,0
celebrating,0,1,0,0,1,0,1,0,0,0
celebration,0,1,0,0,1,0,1,0,1,1
celebrity,1,1,1,0,1,1,1,0,1,1
celestial,0,1,0,0,1,0,1,0,0,0
cement,0,1,0,0,0,0,0,0,0,1
cemetery,0,0,0,1,0,1,0,1,0,0
censor,1,0,1,1,0,1,0,0,0,1
center,0,0,0,0,0,0,1,0,0,1
ceremony,0,0,0,0,1,0,1,0,1,0
cess,0,0,1,0,0,1,0,0,0,0
chaff,1,0,0,1,0,1,0,0,0,0
chagrin,0,0,1,0,0,1,0,1,0,0
chairman,0,0,0,0,0,0,1,0,0,1
chairwoman,0,0,0,0,0,0,1,0,0,1
challenge,1,0,0,1,0,1,0,0,0,0
champion,0,1,0,0,1,0,1,0,0,1
changeable,0,1,0,0,0,0,0,0,1,0
chant,1,1,0,0,1,0,1,0,1,0
chaos,1,0,0,1,0,1,0,1,0,0
chaotic,1,0,0,0,0,1,0,0,0,0
chargeable,0,0,0,1,0,1,0,1,0,0
charitable,0,1,0,0,1,0,1,0,0,1
charity,0,0,0,0,1,0,1,0,0,0
charmed,0,0,0,0,1,1,1,0,0,0
chastity,0,1,0,0,0,0,1,0,0,1
cheat,1,0,1,0,0,1,0,0,0,0
checklist,0,0,0,0,0,0,1,0,0,1
cheer,0,1,0,0,1,0,1,0,1,1
cheerful,0,0,0,0,1,0,1,0,1,0
cheerfulness,0,1,0,0,1,0,1,0,0,1
cheering,0,0,0,0,1,0,1,0,0,0
cheery,0,1,0,0,1,0,1,0,0,0
chemist,0,0,0,0,0,0,1,0,0,1
cherish,0,1,0,0,1,0,1,0,1,1
chicane,0,1,0,0,0,1,0,0,1,1
child,0,1,0,0,1,0,1,0,0,0
childhood,0,0,0,0,1,0,1,0,0,0
chimera,0,0,0,1,0,0,0,0,1,0
chirp,0,0,0,0,1,0,1,0,0,0
chocolate,0,1,0,0,1,0,1,0,0,1
choir,0,0,0,0,1,0,1,0,0,1
choke,1,0,0,0,0,1,0,1,0,0
cholera,0,0,1,1,0,1,0,1,0,0
choral,0,0,0,0,1,0,1,0,0,0
chronic,0,0,0,0,0,1,0,1,0,0
chronicle,0,0,0,0,0,0,1,0,0,1
chuckle,0,1,0,0,1,0,1,0,1,1
church,0,1,0,0,1,0,1,0,0,1
circumvention,0,0,0,0,0,1,1,0,0,0
civilization,0,0,0,0,0,0,1,0,0,1
civilized,0,0,0,0,1,0,1,0,0,1
claimant,1,0,1,0,0,0,0,0,0,0
clamor,1,1,1,0,0,1,0,0,1,0
clap,0,1,0,0,1,0,1,0,0,1
clash,1,0,0,0,0,1,0,0,0,0
clashing,1,0,0,1,0,1,0,0,0,0
classics,0,0,0,0,1,0,1,0,0,0
claw,1,0,0,1,0,1,0,0,0,0
clean,0,0,0,0,1,0,1,0,0,1
clearance,0,0,0,0,0,0,1,0,0,1
clerical,0,0,0,0,0,0,1,0,0,1
climax,0,1,0,0,1,0,1,0,1,1
closeness,0,0,0,0,1,0,1,0,0,1
closure,0,1,0,0,1,0,1,1,0,0
clouded,0,0,0,0,0,1,0,1,0,0
cloudiness,0,0,0,1,0,1,0,0,0,0
clown,0,1,0,0,1,0,1,0,1,0
clumsy,0,0,1,0,0,1,0,0,0,0
cocaine,0,0,0,0,0,1,0,1,0,0
coerce,1,0,1,1,0,1,0,0,0,0
